Country,WHA15,WHA25,WHA34,WHA44,WHA56,WHA64,WHA75
Afghanistan,0.05,0.04,0.01,0.01,0.0089,0.004,0.006
Albania,0.04,0.04,0.01,0.01,0.003,0.01,0.008
Algeria,,0.08,0.12,0.15,0.0689,0.128,0.109
Andorra,,,,,0.0039,0.007,0.005
Angola,,,0.01,0.01,0.002,0.01,0.01
Antigua and Barbuda,,,,0.01,0.002,0.002,0.002
Argentina,0.92,0.77,0.77,0.65,1.1305,0.287,0.719
Armenia,,,,,0.002,0.005,0.007
Australia,1.52,1.32,1.8,1.54,1.6009,1.9331,2.1111
Austria,0.41,0.5,0.7,0.72,0.9318,0.8511,0.679
Azerbaijan,,,,,0.0039,0.015,0.03
Bahamas,,,0.01,0.02,0.0118,0.018,0.019
Bahrain,,0.04,0.01,0.02,0.0177,0.039,0.054
Bangladesh,,,0.04,0.01,0.0098,0.01,0.01
Barbados,,0.04,0.01,0.01,0.0089,0.008,0.008
Belarus,,,,,0.0187,0.042,0.041
Belgium,1.1,0.95,1.2,1.15,1.1109,1.0751,0.8281
Belize,,,,,0.001,0.001,0.001
Belizea,,,,0.01,,,
Benin,,,0.01,0.01,0.002,0.003,0.005
Bhutan,,,,0.01,0.001,0.001,0.001
Bolivia,0.04,0.04,0.01,0.01,0.0079,0.007,0.019
Bosnia and Herzegovina,,,,,0.0039,0.014,0.012
Botswana,,,0.01,0.01,0.0098,0.018,0.015
Brazil,0.94,0.72,1.25,1.42,2.3516,1.6111,2.0131
Brunei Darussalam,,,,0.04,0.0325,0.028,0.021
Bulgaria,0.18,0.16,0.16,0.15,0.0128,0.038,0.056
Burkina Faso,,,,0.01,0.002,0.003,0.004
Burma,0.06,0.05,0.01,,,,
Burundi,,0.04,0.01,0.01,0.001,0.001,0.001
Byelorussian SSR,0.47,0.45,0.38,0.32,,,
Cambodia,0.04,,,0.01,0.002,0.003,0.007
Cameroon,0.04,0.04,,0.01,0.0089,0.011,0.013
Canada,2.85,2.77,3.22,3.03,2.5169,3.2072,2.6282
Cape Verde,,,0.01,0.01,0.001,0.001,0.001
Central African Republic,0.04,0.04,0.01,0.01,0.001,0.001,0.001
Chad,0.04,0.04,0.01,0.01,0.001,0.002,0.003
Chile,0.24,0.18,0.07,0.08,0.2086,0.236,0.42
China,4.17,3.6,1.59,0.77,1.5074,3.1892,15.255
Colombia,0.24,0.17,0.11,0.14,0.1978,0.144,0.246
Comoros,,,0.01,0.01,0.001,0.001,0.001
Congo,0.04,0.04,0.01,0.01,0.001,0.003,0.005
Congo,0.06,0.04,0.01,0.01,0.001,0.003,0.005
Cook Islands,,,,0.01,0.001,0.001,0.001
Costa Rica,0.04,0.04,0.02,0.02,0.0197,0.034,0.069
Croatia,,,,,0.0384,0.097,0.091
Cuba,0.2,0.14,0.11,0.09,0.0295,0.071,0.095
Cyprus,0.04,0.04,0.01,0.02,0.0374,0.046,0.036
Czech Republic,,,,,0.1997,0.349,
Czechia,,,,,,,0.34
Czechoslovakia,1.07,0.81,0.81,0.65,,,
Côte d'Ivoire,,,,0.02,0.0089,0.01,0.022
Dahomey,0.04,0.04,,,,,
Democratic Kampuchea,,,0.01,,,,
Democratic People's Republic of Korea,,,0.05,0.05,0.0089,0.007,0.005
Democratic Republic of the Congo,,,,,0.0039,0.003,0.01
Democratic Yemen,,,0.01,,,,
Denmark,0.53,0.56,0.73,0.68,0.737,0.7361,0.553
Diibouti,,,0.01,0.01,0.001,0.001,0.001
Dominica,,,,0.01,0.001,0.001,0.001
Dominican Republic,0.05,0.04,0.03,0.03,0.0226,0.042,0.067
Ecuador,0.05,0.04,0.02,0.03,0.0246,0.04,0.077
Egypt,,0.16,0.07,0.07,0.0797,0.094,0.139
El Salvador,0.04,0.04,0.01,0.01,0.0177,0.019,0.013
Equatorial Guinea,,,0.01,0.01,0.001,0.008,0.012
Eritrea,,,,,0.001,0.001,0.001
Estonia,,,,,0.0098,0.04,0.044
Eswatini,,,,,,,0.002
Ethiopia,0.05,0.04,0.01,0.01,0.0039,0.008,0.01
Fare Islands,,,,,,,0.001
Federation of Malaya,0.12,,,,,,
Federation of Rhodesia and Nyasaland,0.02,,,,,,
Fiji,,0.04,0.01,0.01,0.0039,0.004,0.004
Finland,0.34,0.4,0.47,0.5,0.5136,0.566,0.417
France,5.43,5.41,6.15,6.13,6.3621,6.1234,4.3183
Gabon,0.04,0.04,0.02,0.03,0.0138,0.014,0.013
Gambia,,0.04,0.01,0.01,0.001,0.001,0.001
Georgia,,,,,0.0049,0.006,0.008
Germany,5.21,6.13,9.54,9.18,9.612,8.0186,6.1114
Ghana,0.08,0.06,0.03,0.01,0.0049,0.006,0.024
Greece,0.21,0.26,0.34,0.39,0.5303,0.691,0.325
Grenada,,,0.01,0.01,0.001,0.001,0.001
Guatemala,0.05,0.05,0.02,0.02,0.0266,0.028,0.041
Guinea,0.04,0.04,0.01,0.01,0.003,0.002,0.003
Guinea-Bissau,,,0.01,0.01,0.001,0.001,0.001
Guyana,,0.04,0.01,0.01,0.001,0.001,0.004
Haiti,0.04,0.04,0.01,0.01,0.002,0.003,0.006
Honduras,0.04,0.04,0.01,0.01,0.0049,0.008,0.009
Hungary,0.51,0.43,0.32,0.2,0.1181,0.291,0.228
Iceland,0.04,0.04,0.03,0.03,0.0325,0.042,0.036
India,1.85,1.4,0.59,0.36,0.3355,0.534,1.0441
Indonesia,0.41,0.25,0.16,0.15,0.1968,0.238,0.549
Iran,0.18,0.2,0.64,0.68,0.2676,0.233,0.371
Iraq,0.08,0.06,0.12,0.12,0.1338,0.02,0.128
Ireland,0.13,0.13,0.16,0.18,0.2893,0.498,0.439
Israel,0.14,0.18,0.24,0.2,0.4083,0.384,0.561
Italy,2.05,3.19,3.39,3.91,4.9834,4.9994,3.1892
Ivory Coast,0.04,0.04,0.03,,,,
Jamaica,,0.04,0.02,0.01,0.0039,0.014,0.008
Japan,2.07,4.87,9.42,11.16,19.2022,12.5309,8.0335
Jordan,0.04,0.04,0.01,0.01,0.0079,0.014,0.022
Kazakhstan,,,,,0.0275,0.076,0.133
Kenya,,0.04,0.01,0.01,0.0079,0.012,0.03
Khmer Republic,,0.04,,,,,
Kiribati,,,,0.01,0.001,0.001,0.001
Korea,0.17,,,,,,
Kuwait,,0.07,0.2,0.28,0.1446,0.263,0.234
