number,date,title,url
WHA1.4,1948,"Resolution 4: regarding the preparation of a list adapted to the problems of foeto-infantile morbidity and mortality
﻿",https://apps.who.int/iris/handle/10665/86050
WHA1.5,1948,"Resolution 5: regarding age-grouping to be used in the tabulation of health statisics
﻿",https://apps.who.int/iris/handle/10665/86051
WHA1.8,1948,"Resolution 8: regarding methods of international cooperation in the field of vital and health statistics
﻿",https://apps.who.int/iris/handle/10665/86054
WHA1.3,1948,"Resolution 3: regarding the use of lists of selected causes for special purposes
﻿",https://apps.who.int/iris/handle/10665/86049
WHA1.10,1948,"Regarding the instruction in statistics in medical schools
﻿",https://apps.who.int/iris/handle/10665/86056
-,1948,"First World Health Assembly, Geneva 24 June to 24 July 1948: plenary meetings: verbatim records: main committees: summary of resolutions and decisions
﻿",https://apps.who.int/iris/handle/10665/85592
WHA1.6,1948,"Resolution 6: regarding the problem of multiple causes of death
﻿",https://apps.who.int/iris/handle/10665/86052
WHA1.2,1948,"Resolution 2: regarding the use of the International statistical classification of diseases, injuries and causes of death
﻿",https://apps.who.int/iris/handle/10665/86048
WHA1.7,1948,"Resolution 7: regarding the Spanish version of the International statistical classification of diseases, injuries and causes of death
﻿",https://apps.who.int/iris/handle/10665/86053
WHA1.1,1948,"Resolution 1: regarding adoption of the International statistical classification of diseases, injuries and causes of death
﻿",https://apps.who.int/iris/handle/10665/86047
-,1948,"First World Health Assembly, Geneva 24 June to 24 July 1948: plenary meetings: verbatim records: main committees: summary of resolutions and decisions
﻿",https://apps.who.int/iris/handle/10665/85592
WHA1.9,1948,"Resolution 9: regarding national committees on vital and health statistics
﻿",https://apps.who.int/iris/handle/10665/86055
A/94 Rev.1,1948,"Summary of resolutions and decisions of the first World Health Assembly, Palais des Nations, Geneva, 24 June - 24 July, 1948
﻿",https://apps.who.int/iris/handle/10665/97807
WHA2.102,1949,"Amendment to the rules of procedure of the World Health Assembly concerning the status of associate members
﻿",https://apps.who.int/iris/handle/10665/86192
WHA2.86,1949,"Hygiene of housing
﻿",https://apps.who.int/iris/handle/10665/86172
WHA2.96,1949,"Assignment of Greece to the European regional area
﻿",https://apps.who.int/iris/handle/10665/86185
