number,date,title,url,pdf
WHA1.4,1948,"Resolution 4: regarding the preparation of a list adapted to the problems of foeto-infantile morbidity and mortality
﻿",https://apps.who.int/iris/handle/10665/86050,/iris/bitstream/handle/10665/86050/WHA1.4_eng.pdf?sequence=1&isAllowed=y
WHA1.5,1948,"Resolution 5: regarding age-grouping to be used in the tabulation of health statisics
﻿",https://apps.who.int/iris/handle/10665/86051,/iris/bitstream/handle/10665/86051/WHA1.5_eng.pdf?sequence=1&isAllowed=y
WHA1.8,1948,"Resolution 8: regarding methods of international cooperation in the field of vital and health statistics
﻿",https://apps.who.int/iris/handle/10665/86054,/iris/bitstream/handle/10665/86054/WHA1.8_eng.pdf?sequence=1&isAllowed=y
WHA1.3,1948,"Resolution 3: regarding the use of lists of selected causes for special purposes
﻿",https://apps.who.int/iris/handle/10665/86049,/iris/bitstream/handle/10665/86049/WHA1.3_eng.pdf?sequence=1&isAllowed=y
WHA1.10,1948,"Regarding the instruction in statistics in medical schools
﻿",https://apps.who.int/iris/handle/10665/86056,/iris/bitstream/handle/10665/86056/WHA1.10_eng.pdf?sequence=1&isAllowed=y
-,1948,"First World Health Assembly, Geneva 24 June to 24 July 1948: plenary meetings: verbatim records: main committees: summary of resolutions and decisions
﻿",https://apps.who.int/iris/handle/10665/85592,/iris/bitstream/handle/10665/85592/Official_record13_eng.pdf?sequence=1&isAllowed=y
WHA1.6,1948,"Resolution 6: regarding the problem of multiple causes of death
﻿",https://apps.who.int/iris/handle/10665/86052,/iris/bitstream/handle/10665/86052/WHA1.6_eng.pdf?sequence=1&isAllowed=y
WHA1.2,1948,"Resolution 2: regarding the use of the International statistical classification of diseases, injuries and causes of death
﻿",https://apps.who.int/iris/handle/10665/86048,/iris/bitstream/handle/10665/86048/WHA1.2_eng.pdf?sequence=1&isAllowed=y
WHA1.7,1948,"Resolution 7: regarding the Spanish version of the International statistical classification of diseases, injuries and causes of death
﻿",https://apps.who.int/iris/handle/10665/86053,/iris/bitstream/handle/10665/86053/WHA1.7_eng.pdf?sequence=1&isAllowed=y
WHA1.1,1948,"Resolution 1: regarding adoption of the International statistical classification of diseases, injuries and causes of death
﻿",https://apps.who.int/iris/handle/10665/86047,/iris/bitstream/handle/10665/86047/WHA1.1_eng.pdf?sequence=1&isAllowed=y
-,1948,"First World Health Assembly, Geneva 24 June to 24 July 1948: plenary meetings: verbatim records: main committees: summary of resolutions and decisions
﻿",https://apps.who.int/iris/handle/10665/85592,/iris/bitstream/handle/10665/85592/Official_record13_eng.pdf?sequence=1&isAllowed=y
WHA1.9,1948,"Resolution 9: regarding national committees on vital and health statistics
﻿",https://apps.who.int/iris/handle/10665/86055,/iris/bitstream/handle/10665/86055/WHA1.9_eng.pdf?sequence=1&isAllowed=y
