Afghanistan	0.04
Albania	0.04
Algeria.	0.08
Argentina	0.77
Australia	1.32
Austria.	0.50
Bahrain	0.04
Barbados	0.04
Belgium	0.95
Bolivia	0.04
Brazil	0.72
Bulgaria	0.16
Burma.	0.05
Burundi	0.04
Byelorussian SSR	0.45
Cameroon	0.04
Canada	2.77
Central African Republic	0.04
Ceylon .	0.05
Chad	0.04
Chile	0.18
China	3.60
Colombia	0.17
Congo	0.04
Costa Rica	0.04
Cuba	0.14
Cyprus .	0.04
Czechoslovakia	0.81
Dahomey . . .	0.04
Denmark	0.56
Dominican Republic	0.04
Ecuador	0.04
Egypt	0.16
El Salvador.	0.04
Ethiopia.	0.04
Federal Republic of Germany	6.13
Fiji	0.04
Finland	0.40
France.	5.41
Gabon .	0.04
Gambia	0.04
Ghana	0.06
Greece.	0.26
Guatemala	0.05
Guinea.	0.04
Guyana	0.04
Haiti. .	0.04
Honduras	0.04
Hungary	0.43
Iceland.	0.04
India	1.40
Indonesia	0.25
Tran .	0.20
Iraq •	0.06
Ireland	0.13
Israel	0.18
Italy . .	3.19
Ivory Coast	0.04
Jamaica	0.04
Japan	4.87
Jordan	0.04
Kenya.	0.04
Khmer Republic	0.04
Kuwait.	0.07
Laos .	0.04
Lebanon	0.05
Lesotho	0.04
Liberia.	0.04
Libyan Arab Republic	0.06
Luxembourg . .	0.05
Madagascar	0.04
Malawi	0.04
Malaysia	0.09
Maldives	0.04
Mali .	0.04
Malta	0.04
Mauritania	0.04
Mauritius	0.04
Mexico.	0.79
Monaco	0.04
Mongolia.	0.04
Morocco.	0.08
Nepal	0.04
Netherlands	1.06
New Zealand	0.29
Nicaragua	0.04
Niger	0.04
Nigeria.	0.11
Norway	0.39
Oman	0.04
Pakistan	0.31
Panama	0.04
Paraguay	0.04
People's Democratic Republic of Yemen	0.04
Peru	0.09
Philippines	0.28
Poland.	1.27
Portugal	0.14
Oatar	0.02
Republic of Korea	0.10
Romania.	0.32
Rwanda	0.04
Saudi Arabia	0.06
Senegal	0.04
Sierra Leone	0.04
Singapore	0.05
Somalia.	0.04
South Africa	0.49
Southern Rhodesia	0.02
Spain	0.94
Sudan	0.04
Sweden	1.13
Switzerland	0.76
Syrian Arab Republic	0.04
Thailand	0.12
Togo	0.04
Trinidad and Tobago	0.04
Tunisia	0.04
Turkey	0.31
Uganda	0.04
Ukrainian SSR	1.68
Union of Soviet Socialist Republics	12.78
United Arab Emirates .	0.04
United Kingdom of Great Britain and Northern Ireland	5.32
United Republic of Tanzania	0.04
United States of America . .	30.84
Upper Volta	0.04
Uruguay	0.06
Venezuela	0.37
Viet-Nam	0.06
Western Samoa	0.04
Yemen . . . .	0.04
Yugoslavia	0.34
Zaire.	0.04
Zambia	0.04
