number,title
WHA1.10,"Regarding the instruction in statistics in medical schools
﻿"
WHA1.2,"Resolution 2: regarding the use of the International statistical classification of diseases, injuries and causes of death
﻿"
WHA1.3,"Resolution 3: regarding the use of lists of selected causes for special purposes
﻿"
WHA1.1,"Resolution 1: regarding adoption of the International statistical classification of diseases, injuries and causes of death
﻿"
WHA1.4,"Resolution 4: regarding the preparation of a list adapted to the problems of foeto-infantile morbidity and mortality
﻿"
WHA1.5,"Resolution 5: regarding age-grouping to be used in the tabulation of health statisics
﻿"
WHA1.7,"Resolution 7: regarding the Spanish version of the International statistical classification of diseases, injuries and causes of death
﻿"
WHA1.6,"Resolution 6: regarding the problem of multiple causes of death
﻿"
WHA1.8,"Resolution 8: regarding methods of international cooperation in the field of vital and health statistics
﻿"
WHA1.9,"Resolution 9: regarding national committees on vital and health statistics
﻿"
WHA2.42,"Tuberculosis programme: staff
﻿"
WHA2.56,"Policy to be followed concerning contributions to arrears
﻿"
WHA2.3,"Expert Committee on Venereal Diseases: report on the second session
﻿"
WHA2.81,"Approval of the agreement with the government of India
﻿"
WHA2.95,"Proposed amendments to the rules of procedure of the World Health Assembly
﻿"
WHA2.103,"Rights and obligations of associate members and other territories in regional organizations
﻿"
WHA2.102,"Amendment to the rules of procedure of the World Health Assembly concerning the status of associate members
﻿"
WHA2.94,"Adoption of amendments to the rules of procedure of the World Health Assembly
﻿"
WHA2.2,"Expert Committee on Maternal and Child Health: report on the first session
﻿"
WHA2.80,"Procedure for nomination and election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA2.57,"Establishment of the working capital fund as a single fund and assessment of new members
﻿"
WHA2.43,"Leprosy
﻿"
WHA2.55,"Status of contributions to the budget for 1949
﻿"
WHA2.41,"Joint programme of FAO/WHO to increase world food production and raise standards of health
﻿"
WHA2.69,"Scale of assessments: contribution of the state of South Korea to the budgets of 1949 and 1950
﻿"
WHA2.96,"Assignment of Greece to the European regional area
﻿"
WHA2.82,"Negotiations for an agreement with the government of Egypt
﻿"
WHA2.100,"Inter-organization agreements: correction of the French texts
﻿"
WHA2.101,"Agreement with ILO: article VII
﻿"
WHA2.83,"Situation with regard to the Office international d'Hygène publique
﻿"
WHA2.1,"Procedure for the examiniation of the programme and budget for 1950
﻿"
WHA2.97,"Regional organization: Western Pacific area
﻿"
WHA2.68,"Scale of assessments: determination of the maximum contribution to the regular expenses of the Organization
﻿"
WHA2.40,"Use of statistical methods
﻿"
WHA2.54,"State of contributions to the budget for 1948
﻿"
WHA2.78,"Adoption of the programme and budget for 1950
﻿"
WHA2.50,"Financial report and accounts of the Interim Commission for the financial period 1 January to 31 August 1948, and the report of the external auditor
﻿"
WHA2.44,"Availability of technical knowledge of production processes of antibiotics
﻿"
WHA2.105,"Convention on Privilege and Immunities: extension to representatives of associate members and other territories
﻿"
WHA2.93,"WHO regulations on nomenclature, 1948: proposed amendment to article 20
﻿"
WHA2.5,"Co-ordination of international congresses of medical sciences: proposed collaboration with the permanent council
﻿"
WHA2.87,"Relations with the specialized agencies of the United Nations
﻿"
WHA2.4,"Activities with the United Nations and specialized agencies and non-governmental organizations on venereal-disease control
﻿"
WHA2.86,"Hygiene of housing
﻿"
WHA2.92,"Recommendations on accessions to Convention on Privileges and Immunities
﻿"
WHA2.104,"Regional organization: African area
﻿"
WHA2.45,"Administrative and financial relations between the United Nations and specialized agencies
﻿"
WHA2.51,"Financial report and accounts of the World Health Organization for the financial period 1 September to 31 December 1948, and report of the external auditor
﻿"
WHA2.79,"Supplemental operating programme of advisory and technical services: priority items
﻿"
WHA2.47,"Insurance against travel accidents of delegates to the Health Assembly and of members of the Executive Board
﻿"
WHA2.53,"Appointment of the external auditor for 1950
﻿"
WHA2.84,"Amendments to regulations and rules of procedure for expert committees and their sub-committees
﻿"
WHA2.6,"Co-operation with UNESCO in the co-ordination of international congresses of medical sciences
﻿"
WHA2.90,"Action taken by certain countries with regard to membership of WHO
﻿"
WHA2.91,"Approval of agreement with the Pan American Sanitary Organization
﻿"
WHA2.85,"Policy on invitations to appoint members to governing bodies of health organizations: London School of Hygiene and Tropical Medicine
﻿"
WHA2.7,"Technical training of medical and auxiliary personnel
﻿"
WHA2.52,"Feasibility of using the United Nations board of auditors
﻿"
WHA2.46,"Transportation and/or per diem allowances for delegates to the third and subsequent health assemblies
﻿"
WHA2.21,"Activities with ECOSOC and with specialized agencies on malaria control
﻿"
WHA2.35,"World Health Day
 ﻿"
WHA2.34,"Co-operation with the United Nations on the United Nations Library, Geneva
﻿"
WHA2.20,"Proposal to widen the terms of reference of the Expert Committee on Malaria
﻿"
WHA2.36,"Bejel and other treponematoses
﻿"
WHA2.22,"Expert Committee on Tuberculosis: report on the third session
﻿"
WHA2.23,"Activities with UNICEF and the International Union against Tuberculosis
﻿"
WHA2.37,"International health yearbook
﻿"
WHA2.33,"Health situation of displaced persons
﻿"
WHA2.27,"Insulin
﻿"
WHA2.26,"Activities with the United Nations, specialized agencies, and non-governmental organizations on matters connected with mental health
﻿"
WHA2.32,"International research laboratories
﻿"
WHA2.18,"Expert Committee on Insecticides: report on the first session
﻿"
WHA2.24,"Joint committee on health policy, UNICEF/WHO
﻿"
WHA2.30,"Activities with the United Nations, specialized agencies and non-governmental organizations on public-health administration
﻿"
WHA2.31,"General co-ordination with the United Nations and specialized agencies
﻿"
WHA2.25,"Nuclear expert committee on mental health
﻿"
WHA2.19,"Co-ordination of research
﻿"
WHA2.14,"Production of synthetic vitamins
﻿"
WHA2.28,"Co-operation with the Economic Commission for Europe
﻿"
WHA2.29,"Physical training
﻿"
WHA2.15,"Expert Committee on International Epidemiology and Quarantine: report on the first session and principles to govern WHO sanitary regulations
﻿"
WHA2.17,"Reports on international epidemic control
﻿"
WHA2.16,"Section on quarantine of the Expert Committee on International Epidemiology and Quarantine: report on the first session
﻿"
WHA2.12,"Co-operation with FAO on nutrition problems
﻿"
WHA2.13,"National nutrition committees
﻿"
WHA2.39,"Health statistics: registration, compilation and transmission
﻿"
WHA2.11,"Expert Committee on Habit-forming Drugs: report on the first session
﻿"
WHA2.10,"Expert Committee on the Unification of Pharmacopoeias: reports on the third and fourth sessions
﻿"
WHA2.38,"Expert Committee on Health Statistics: report on the first session
﻿"
WHA2.63,"Reimbursement by governments for materials, supplies and equipment
﻿"
WHA2.77,"Establishment of an expert committee on nursing
﻿"
WHA2.88,"Relations with the International Trade Organization
﻿"
WHA2.89,"Relations with the Intergovernmental Maritime Consultative Organization
﻿"
WHA2.76,"United Nations project for the relief of Palestine refugees
﻿"
WHA2.62,"Financial responsibilities of the Executive Board
﻿"
WHA2.74,"Establishment of a regional organization for the European area
﻿"
WHA2.60,"Budget estimates for the proposed 1950 programme
﻿"
WHA2.48,"Approval of additions to the provisional staff regulations
﻿"
WHA2.9,"Expert Committee on Biological Standardization: report on the third session and report of the Sub-Committee on Fat-Soluable Vitamins
﻿"
WHA2.8,"Publications: International digest of health legislation
﻿"
WHA2.49,"Staff pension committee
﻿"
WHA2.61,"Headquarters office accommodation
﻿"
WHA2.75,"Supplemental operating programme of advisory and technical services budget
﻿"
WHA2.59,"Notification to governments of vacancies for professional and senior staff
﻿"
WHA2.71,"Appropriation resolution
﻿"
WHA2.65,"Currency of contributions
﻿"
WHA2.64,"Appointment of members and alternates to the Staff Pension Committee
﻿"
WHA2.70,"Scale of assessments: financial obligations of associate members
﻿"
WHA2.58,"Currency of contributions
﻿"
WHA2.66,"Working capital fund for 1950
﻿"
WHA2.72,"Contributions to the regular operating budget
 ﻿"
WHA2.99,"Adminssion of Korea (‎South)‎
﻿"
WHA2.98,"Application for membership of WHO: San Marino
﻿"
WHA2.73,"Programme medical supply services
﻿"
WHA2.67,"Scale of assessments: contribution of Israel to the budgets of 1949 and 1950
﻿"
WHA3.16,"International Health Yearbook
﻿"
WHA3.112,"Suspension of financial regulations 13 and 16(‎e)‎
﻿"
WHA3.106,"Procedure for consideration of the programme budget at the fourth World Health Assembly
﻿"
WHA3.107,"Form of presentation of programme and budget estimates
﻿"
WHA3.113,"Principles governing admission of non-governmental organizations into official relations with WHO
﻿"
WHA3.17,"Salmonellae
﻿"
WHA3.29,"Rheumatic diseases
﻿"
WHA3.15,"International Digest of Health Legislation and publication of health legislation considered to be of international importance
﻿"
WHA3.105,"Working capital fund
﻿"
WHA3.111,"Provisional financial regulations: extension for a further year
﻿"
WHA3.110,"Appropriation resolution for the financial year 1950: amendment concerning publications
﻿"
WHA3.104,"Confidential report on the composition of the Secretariat
﻿"
WHA3.14,"Languages of publication of the Bulletin of the World Health Organization
﻿"
WHA3.28,"Bovine tuberculosis
﻿"
WHA3.10,"Pharmacopoea Internationalis
﻿"
WHA3.38,"Expert Committee on Nursing: report on the first session
﻿"
WHA3.100,"International Civil Service Advisory Board
﻿"
WHA3.114,"Principles to govern relations between WHO and regional and national non-governmental organizations
﻿"
WHA3.115,"Budget level for 1951
﻿"
WHA3.101,"Arrangements for accommodation for headquarters office
﻿"
WHA3.39,"Expert Group on Prematurity: report on session
﻿"
WHA3.11,"Non-Proprietary names for drugs
﻿"
WHA3.13,"Expert Committee on Antibiotics: report on the first session
﻿"
WHA3.117,"Programme and budget for 1951
﻿"
WHA3.103,"Appointment of member and alternate to the Staff Pension Committee
﻿"
WHA3.102,"Convention on Privileges and Immunities of the Specialized Agencies: amendments to annex VII concerning associate members and persons serving on expert advisory panels
﻿"
WHA3.116,"Technical assistance programme
﻿"
WHA3.12,"Expert Committee on Drugs Liable to Produce Addiction: report on the second session
﻿"
WHA3.49,"Establishment of national WHO committees
﻿"
WHA3.75,"Admission of the United States of Indonesia to membership of WHO
﻿"
WHA3.61,"Expert Committee on Tuberculosis: report on the fourth session
﻿"
WHA3.60,"Expert Committee on Malaria: report on the third session
﻿"
WHA3.74,"Status of contributions to the budget for 1949
 ﻿"
WHA3.48,"Problem of proliferation and overlapping of programmes of the United Nations and of specialized agencies
﻿"
WHA3.1,"General programme of work covering a specific period
﻿"
WHA3.3,"Expert Committee on International Epidemiology and Quarantine: report on the second session
﻿"
WHA3.62,"Therapeutic substances
﻿"
WHA3.76,"Admission of Viet Nam, Cambodia and Laos to membership of WHO
﻿"
WHA3.89,"Organizational structure of the Secretariat
﻿"
WHA3.88,"Report on financial rules
﻿"
WHA3.77,"Admission of Southern Rhodesia as an associate member of WHO
﻿"
WHA3.63,"Programme of publications
﻿"
WHA3.2,"Expert Committee on Professional and Technical Education of Medical and Auxiliary Personnel: report on the first session
﻿"
WHA3.6,"Expert Committee on Health Statistics: report on the second session
﻿"
WHA3.67,"Nursing
﻿"
WHA3.73,"Status of contributions to the budget for 1948
﻿"
WHA3.98,"Office international d'Hygiène publique
﻿"
WHA3.99,"Place of fourth World Health Assembly
﻿"
WHA3.72,"Financial report and accounts of the World Health Organization (‎1 January-31 December 1949)‎ and report of the external auditor
﻿"
WHA3.66,"Health education of the public
﻿"
WHA3.7,"Population problems
﻿"
WHA3.5,"International certificates of vaccination
﻿"
WHA3.70,"Medical supplies
﻿"
WHA3.64,"Stimulation of campaigns against communicable diseases
﻿"
WHA3.58,"Expert Committee on Plague: report on the first session
﻿"
WHA3.59,"Joint OIHP/WHO study-group on Cholera: report on the third session
﻿"
WHA3.65,"Organization of public-health services
﻿"
WHA3.71,"Adjustment of operating programme for 1951
﻿"
WHA3.4,"Section on quarantine of the Expert Committee on International Epidemiology and Quarantine: report on the second session
﻿"
WHA3.9,"Expert Committee on the Unification of Pharmacopoeias: report on the fifth session
﻿"
WHA3.68,"General promotion of health
﻿"
WHA3.54,"Western Pacific regional organization
﻿"
WHA3.40,"Nutrition
﻿"
WHA3.97,"Issue of special world health stamps by member states to raise funds for promoting internatinal health work by WHO
﻿"
WHA3.83,"Agreement with the government of Egypt
﻿"
WHA3.82,"Amendments to the rules of procedure of the World Health Assembly
﻿"
WHA3.96,"Proposed amendments to the constitution of the World Health Organization
﻿"
WHA3.41,"Expert Committee on Mental Health: report on first session
﻿"
WHA3.55,"Administrative office for Africa
﻿"
WHA3.69,"Professional and technical education
﻿"
WHA3.8,"International biological standards
﻿"
WHA3.43,"Labelling and distribution of insecticides
﻿"
WHA3.57,"Technical assistance programme
﻿"
WHA3.80,"Level of expenditure for 1950
﻿"
WHA3.94,"Staff rules
﻿"
WHA3.95,"Currency of contributions
﻿"
WHA3.81,"Level of expenditure for 1951
﻿"
WHA3.56,"Emergency sanitary measures in connection with the Mecca pilgrimage
﻿"
WHA3.42,"Supplies for governmental programmes
﻿"
WHA3.46,"Joint activities of WHO and UNICEF
﻿"
WHA3.52,"Léon Bernard Foundation: amendment of statutes
﻿"
WHA3.85,"Scale of assessments for 1950: Israel
﻿"
WHA3.91,"Scale of assessments for 1951
﻿"
WHA3.90,"Action taken by China with respect to membership of WHO
﻿"
WHA3.84,"Action taken by certain countries with respect to membership of WHO
﻿"
WHA3.53,"Programme of epidemiological work to be carried out with OIHP funds
﻿"
WHA3.47,"Regulations for expert advisory panels and committees
﻿"
WHA3.51,"National nutrition committees
﻿"
WHA3.45,"Production of synthetic vitamins in under-developed countries
﻿"
WHA3.79,"Use of UNRRA special fund during 1951
﻿"
WHA3.92,"World Health Defence Fund
﻿"
WHA3.86,"Provisional scale of assessments for associate members
﻿"
WHA3.87,"Appointment of the external auditor for 1951
﻿"
WHA3.93,"Provisional staff regulations
﻿"
WHA3.78,"Report on absentee members of the Executive Board
﻿"
WHA3.44,"Freer flow of medical supplies
﻿"
WHA3.50,"Continuing needs of children
﻿"
WHA3.37,"Expert Committee on Venereal Diseases: report on the third session
﻿"
WHA3.23,"Hydatiodosis
﻿"
WHA3.22,"Trachoma
﻿"
WHA3.36,"Pestilential diseases
﻿"
WHA3.20,"Rabies
﻿"
WHA3.34,"Rehabilitation of the disabled, including the blind
﻿"
WHA3.118,"Assignment of the Republic of the United States of Indonesia to the South-East Asia region
﻿"
WHA3.119,"Temporary assignment of the state of Viet Nam and the kingdoms of Cambodia and Laos to the South-East Asia region
﻿"
WHA3.35,"Expert Committee on Environmental Sanitation: report on first session
﻿"
WHA3.21,"Poliomyelitis
﻿"
WHA3.25,"Q fever
﻿"
WHA3.31,"Joint ILO/WHO Committee on the Hygiene of Seafarers: report on the first session
﻿"
WHA3.19,"Yellow-fever panel: report on the first session
﻿"
WHA3.121,"Award of Count Bernadotte Memorial Medal to WHO
﻿"
WHA3.109,"Appropriation resolution for the financial year 1951
﻿"
WHA3.108,"Reimbursement of WHO by UNICEF in respect of certain services
﻿"
WHA3.120,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA3.18,"Smallpox
﻿"
WHA3.30,"Epidemic and serum hepatitis
﻿"
WHA3.24,"Typhus and other rickettsioses
﻿"
WHA3.32,"Physical training
﻿"
WHA3.26,"Bilharziasis
﻿"
WHA3.122,"Reports of the Executive Board and of the Director-General
﻿"
WHA3.123,"Action taken by Hungary with respect to membership of WHO
﻿"
WHA3.27,"Prevention of importation of anophelines
﻿"
WHA3.33,"Dental hygiene
﻿"
WHA4.5,"Dental hygiene
﻿"
WHA4.23,"Co-ordination of technical assistance programmes
﻿"
WHA4.37,"Supplemental budget for 1951: obligations to the United Nations
﻿"
WHA4.36,"Working capital fund
﻿"
WHA4.22,"Technical assistance programme
﻿"
WHA4.4,"Publications
﻿"
WHA4.6,"First Inter-American Sanitary Congress
﻿"
WHA4.34,"Financial report and accounts of the World Health Organization for 1950 and the report of the external auditor
﻿"
WHA4.20,"Role of hospitals in world health
﻿"
WHA4.21,"Resettlement of refugee physicians
﻿"
WHA4.35,"Arrears of contributions
﻿"
WHA4.7,"Tuberculosis Research Office, Copenhagen
﻿"
WHA4.3,"Health statistics
﻿"
WHA4.19,"Improvement of environmental hygiene and sanitation
﻿"
WHA4.31,"Toxic hazards of certain insecticides and similar products
﻿"
WHA4.25,"Medical supplies for member governments
﻿"
WHA4.24,"Projects for technical assistance
﻿"
WHA4.30,"Supply of insecticides
﻿"
WHA4.18,"Rehabilitation of physically handicapped
﻿"
WHA4.2,"General programme of work covering a specific period
﻿"
WHA4.26,"Scientific research in the field of health
﻿"
WHA4.32,"Control of venereal disease among the Rhine boatmen
﻿"
WHA4.33,"Regular programme for 1952
﻿"
WHA4.27,"Development of national health programmes
﻿"
WHA4.1,"Annual report of the Director-General for 1950
 ﻿"
WHA4.40,"Measures for improving the financial position of the World Health Organization
﻿"
